#,Game Name,Link
81,Watergate,https://boardgamearena.com/gamepanel?game=watergate
82,Flowers,https://boardgamearena.com/gamepanel?game=flowers
83,Linie 1 (Streetcar),https://boardgamearena.com/gamepanel?game=streetcar
84,7 Wonders Dice,https://boardgamearena.com/gamepanel?game=sevenwondersdice
85,Altered,https://boardgamearena.com/gamepanel?game=altered
86,Skara Brae,https://boardgamearena.com/gamepanel?game=skarabrae
87,Chakra,https://boardgamearena.com/gamepanel?game=chakra
88,Captain Flip,https://boardgamearena.com/gamepanel?game=captainflip
89,Planet Unknown,https://boardgamearena.com/gamepanel?game=planetunknown
90,Tacta,https://boardgamearena.com/gamepanel?game=tacta
91,Orléans,https://boardgamearena.com/gamepanel?game=orleans
92,Railroad Ink,https://boardgamearena.com/gamepanel?game=railroadink
93,Res Arcana,https://boardgamearena.com/gamepanel?game=resarcana
94,Innovation,https://boardgamearena.com/gamepanel?game=innovation
95,Welcome to the Moon,https://boardgamearena.com/gamepanel?game=welcometothemoon
96,Solstis,https://boardgamearena.com/gamepanel?game=solstis
97,Love Letter,https://boardgamearena.com/gamepanel?game=loveletter
98,Obsession,https://boardgamearena.com/gamepanel?game=obsession
99,Castles of Mad King Ludwig,https://boardgamearena.com/gamepanel?game=castleofmadkingludwig
100,Papayoo,https://boardgamearena.com/gamepanel?game=papayoo
